Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.patient-monitoring.json	54041	-	0	0	0	0	0	0	22	69	0	0	1	0	0	0	0	2	0	0	0	252	862	0	0	0	0	14	0	6
fsh-generated/resources/Appointment-Appointment-testapp.json	673	3	0	0	1	0	0	0	0	686	0	0	0	0	0	0	0	0	0	0	0	20	27	0	0	0	0	0	0	0
fsh-generated/resources/CareTeam-CareTeam-F-7766077.json	774	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	19	24	0	0	0	0	0	0	0
fsh-generated/resources/CareTeam-CareTeam-Katheter.json	216	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0	0
fsh-generated/resources/CareTeam-CareTeam-OPAT.json	296	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0	0
fsh-generated/resources/CareTeam-CareTeam-Spoed.json	219	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-MED-medischeVG.json	396	2	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-OBS-Ademhalingsproblemen.json	402	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-OBS-Andere.json	381	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-OBS-Blaren.json	376	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-OBS-Braken.json	376	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-OBS-Candidiase.json	383	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-OBS-Diarree.json	377	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-OBS-Gewrichtspijn.json	385	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0	0
fsh-generated/resources/ClinicalImpression-ClinicalImpression-OBS-Huiduitslag.json	377	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0	0
